variable_name,label_fa,type,unit,valid_range,missing_codes,level,sensitive,notes
id,"Respondent ID (pseudonymous, sequential).",float64,NA,1–230,system-missing/NA,employee-level,no,
org_id_anon,Anonymized organization identifier (1-15) used for GroupKFold outer CV and ICC estimation.,int64,NA,1–15,system-missing/NA,organization-level (grouping variable; repeated per employee),no,
gender,جنسیت,float64,NA,1–2,system-missing/NA,employee-level,no,
marital,وضعیت تاهل,float64,NA,1–2,system-missing/NA,employee-level,no,
age,رده‌های سنی,float64,NA,1–4,system-missing/NA,employee-level,no,
education,تحصیلات,float64,NA,1–4,system-missing/NA,employee-level,no,
quest1,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest2,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest3,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest4,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest5,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest6,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest7,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest8,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest9,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest10,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest11,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest12,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest13,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest14,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest15,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest16,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest17,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest18,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest19,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest20,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest21,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest22,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest23,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest24,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest25,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest26,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest27,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest28,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest29,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest30,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest31,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest32,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest33,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest34,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest35,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest36,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest37,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest38,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest39,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest40,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest41,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest42,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest43,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest44,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest45,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest46,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest47,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest48,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest49,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest50,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest51,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest52,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest53,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest54,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest55,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest56,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest57,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest58,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest59,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest60,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest61,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest62,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest63,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest64,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest65,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest66,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest67,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest68,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest69,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest70,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest71,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest72,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest73,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest74,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest75,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest76,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest77,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest78,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest79,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
quest80,,float64,Likert 1-5,1–5,system-missing/NA,employee-level,no,
org_climate_score,جو سازمانی,float64,NA,1.4–4.53,system-missing/NA,employee-level,no,
org_support_score,حمایت سازمانی,float64,NA,1.47–4.73,system-missing/NA,employee-level,no,
org_context_score,بستر سازمانی,float64,NA,1.27–4.53,system-missing/NA,employee-level,no,
org_resources_score,منابع سازمانی,float64,NA,1.27–4.73,system-missing/NA,employee-level,no,
change_mgmt_capability_score,مدیریت تغییر,float64,NA,1.4–4.9,system-missing/NA,employee-level,no,
x1,فرهنگ آمادگی و نوآوری,float64,NA,1–5,system-missing/NA,employee-level,no,
x2,تعاملات درون و برون سازمانی,float64,NA,1.2–5,system-missing/NA,employee-level,no,
