id,org_id_anon,gender,marital,age,education,quest1,quest2,quest3,quest4,quest5,quest6,quest7,quest8,quest9,quest10,quest11,quest12,quest13,quest14,quest15,quest16,quest17,quest18,quest19,quest20,quest21,quest22,quest23,quest24,quest25,quest26,quest27,quest28,quest29,quest30,quest31,quest32,quest33,quest34,quest35,quest36,quest37,quest38,quest39,quest40,quest41,quest42,quest43,quest44,quest45,quest46,quest47,quest48,quest49,quest50,quest51,quest52,quest53,quest54,quest55,quest56,quest57,quest58,quest59,quest60,quest61,quest62,quest63,quest64,quest65,quest66,quest67,quest68,quest69,quest70,quest71,quest72,quest73,quest74,quest75,quest76,quest77,quest78,quest79,quest80,org_climate_score,org_support_score,org_context_score,org_resources_score,change_mgmt_capability_score,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
1.0,9,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,5.0,5.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,2.933333333333333,2.533333333333333,2.8666666666666667,3.2,2.2,4.4,2.4,3.0,3.0,2.8,3.0,3.0,1.6,3.0,3.2,2.4,3.0,3.4,-0.851087569,1.231986177,-0.61085431,-0.026600704,0.298818346,-0.385113192,-0.209918909,-0.09816483,-1.701531284,-0.37632576,0.154734749,-0.829621087,0.347971111,0.693100598
2.0,4,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,1.6666666666666667,1.8,2.066666666666667,2.466666666666667,2.4,1.4,1.2,2.4,2.0,1.0,2.4,2.0,2.4,1.8,2.4,2.2,2.8,2.2,2.6,-1.846586943,-2.158762455,-0.753567327,-1.196078068,-2.794912182,-1.065103578,-1.794772868,-0.639837284,-1.643934295,-0.937718759,-0.700025075,-0.544977386,-1.2360512,-0.38737813
3.0,12,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,5.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,1.0,5.0,4.0,3.0,5.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,3.0,4.0,4.0,2.0,5.0,3.0,3.0,2.8,3.2,3.6666666666666665,3.2,3.4,2.6,2.6,3.2,3.8,2.2,3.6,4.0,3.0,4.0,3.8,2.8,3.0,3.0,3.8,-0.391729945,-0.375055612,0.198903673,0.900642722,-0.584417476,1.116666825,0.934582883,-0.117850229,1.402482253,0.856135852,-0.280502441,-0.281284025,-0.140162353,0.817750858
4.0,12,2.0,2.0,3.0,2.0,4.0,2.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,4.0,2.0,5.0,4.0,2.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,1.0,4.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,1.0,2.0,4.0,4.0,3.7333333333333334,3.066666666666667,3.6666666666666665,4.066666666666666,3.6,4.2,4.0,3.0,3.6,2.8,2.8,3.8,3.8,3.4,4.6,3.8,3.8,3.8,3.4,2.143390427,0.773164939,-0.065842477,1.009795463,0.201027409,-0.387469941,0.759797142,0.828600613,0.827427669,2.084056515,0.673082779,1.035288302,1.11119046,0.641548511
5.0,1,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,1.9333333333333333,2.8,1.8666666666666667,2.0,1.9,1.4,2.4,2.0,3.2,2.4,2.8,2.8,1.2,1.6,2.4,2.2,1.4,2.6,1.2,-1.546445053,-0.789015076,-1.312380189,0.151183202,-0.430667419,-0.350532439,-0.650661198,-1.698877046,-1.757250677,-0.741939379,-0.903609828,-2.1076585,-0.499292181,-1.869923212
6.0,5,1.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,1.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,3.2,3.4,3.8666666666666667,3.6,4.1,2.6,3.6,3.4,3.4,3.6,3.2,4.0,4.6,3.0,3.8,3.8,3.2,3.6,4.6,-0.286225032,0.597214603,0.469301978,0.35679434,1.138532837,0.378660537,1.079657189,1.871927401,-0.208127897,0.920270892,0.632490007,0.660005441,0.633937983,1.761932692
7.0,2,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.4666666666666666,2.3333333333333335,2.4,2.3333333333333335,2.2,1.4,1.6,1.4,2.8,1.8,2.4,1.8,2.6,2.8,2.6,1.8,2.6,2.6,1.8,-1.882519175,-1.625594236,-2.205096372,-0.299028837,-1.43534901,-0.47128996,-2.022235195,-0.74086529,-0.229969642,-0.400632183,-1.278388674,-0.520682676,-0.547643549,-1.03230518
8.0,10,1.0,2.0,3.0,2.0,5.0,4.0,3.0,5.0,5.0,1.0,2.0,4.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,4.0,4.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,1.0,5.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.4,4.066666666666666,4.466666666666667,3.6,3.8,4.4,2.6,3.2,3.6,4.2,4.4,4.2,4.8,4.4,4.6,3.2,3.0,4.2,3.4,2.178618076,-0.318436235,0.055001401,0.896249448,1.595889237,2.193306082,1.122491062,2.430891945,1.831592271,2.275954167,0.279235913,0.334848709,1.515100616,0.359865993
9.0,14,2.0,1.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,2.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,3.0,5.0,2.0,4.0,5.0,3.0,3.0,4.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,4.533333333333333,4.333333333333333,4.066666666666666,4.466666666666667,4.9,4.8,4.8,4.0,4.6,4.0,4.4,4.6,3.8,3.8,4.0,4.6,4.8,5.0,4.8,2.610327312,2.400169869,1.491914487,2.181034723,1.468457702,2.296873729,1.916832253,1.036427898,1.189641311,1.782431517,2.407990221,1.954790329,3.14033957,2.171245935
10.0,8,1.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.1333333333333333,2.6,3.2666666666666666,2.2666666666666666,3.1,1.4,2.8,2.2,3.0,2.0,2.8,3.2,3.0,3.6,3.2,2.0,1.6,3.2,3.0,-1.399442161,-0.316069738,-1.105389813,-0.142529146,-1.023850717,0.045968412,0.177588584,-0.10314607,0.709846471,0.352856989,-0.992293203,-1.557741679,0.119973396,0.080653065
